year;CID;name;party
2004;N00009918;Patrick Leahy (D);D
2004;N00025446;Vij Pawar (D);D
2004;N00002802;Clay Oliver Hill (I);I
2004;N00005963;Michael Idrogo (I);I
2004;N00007021;Juan Carlos Vargas (D);D
2004;N00009817;Dick Zimmer (R);R
2004;N00002281;Thomas Francis Winterbottom (D);D
2004;N00006201;Anthony Martinez (D);D
2004;N00012826;Randall G Weissbuch (L);L
2004;N00025282;Billy Ray Wilson (R);R
2004;N00025522;Charles McPeek Sr (D);D
2004;N00008943;William A Hall III (I);I
2004;N00009934;James Brian Gibson (3);3
2004;N00011338;Gordon Lee Anderson (U);U
2004;N00015884;Mark B Cohen (D);D
2004;N00001671;Samuel B Hoff (I);I
2004;N00005331;Doug Bereuter (R);R
2004;N00000584;David John Morascini (U);U
2004;N00012874;Daniel Richard Vaughen (D);D
2004;N00007624;Robert Bunda (D);D
2004;N00006700;Mervin Leon Evans (D);D
2004;N00012568;Edwin Irizarry (3);3
2004;N00006326;Raymond Todd Neilson (R);R
2004;N00012840;Vernon Van (R);R
2004;N00015389;Roland Burris (R);R
2004;N00006359;Gary R Van Horn (3);3
2004;N00004663;Mike Fellows (L);L
2004;N00006887;Timothy Charles Kalemkarian (R);R
2004;N00025733;Frank Carter (I);I
2004;N00003647;James A Traficant Jr (I);I
2004;N00004428;Bob Welch (R);R
2004;N00005653;Stephen A Masterson (R);R
2004;N00000019;Hillary Clinton (D);D
2004;N00015205;Charles S Broomfield (D);D
2004;N00012846;Keith D Gann (L);L
2004;N00006692;Barbara Boxer (D);D
2004;N00026157;Jim Brandt (D);D
2004;N00024803;Shaun M McNally (D);D
2004;N00005449;Stephen Jean Copley (D);D
2004;N00008008;Frank J Vondersaar (D);D
2004;N00024949;Gene Koprowski (L);L
2004;N00005855;John Devine (R);R
2004;N00013581;John Charles Barker (R);R
2004;N00025242;Pete Tabb (D);D
2004;N00003839;Steve G Hope (D);D
2004;N00009453;David B Funderburk (R);R
2004;N00006276;A Jim Pratt (R);R
2004;N00007994;Theresa Obermeyer (D);D
