House Vote #1 2001-01-03T12:36:00 - Call By States
person,state,district,vote,name,party
300021,GA,8,Present,"Rep. Saxby Chambliss [R, 1995-2002]",Republican
300047,SC,3,Present,"Rep. Lindsey Graham [R, 1995-2002]",Republican
300095,NH,1,Present,"Rep. John Sununu [R, 1997-2002]",Republican
400001,HI,1,Present,"Rep. Neil Abercrombie [D, 1991-2010]",Democrat
400003,NY,5,Present,"Rep. Gary Ackerman [D, 1993-2012]",Democrat
400004,AL,4,Present,"Rep. Robert Aderholt [R, 1997-2018]",Republican
400005,MO,2,Present,"Rep. Todd Akin [R, 2001-2012]",Republican
400007,ME,1,Present,"Rep. Thomas “Tom” Allen [D, 1997-2008]",Democrat
400008,NJ,1,Present,"Rep. Robert “Rob” Andrews [D, 1990-2014]",Democrat
400009,CA,42,Present,"Rep. Joe Baca [D, 1999-2002]",Democrat
400010,AL,6,Present,"Rep. Spencer Bachus III [R, 1993-2014]",Republican
400011,WA,3,Present,"Rep. Brian Baird [D, 1999-2010]",Democrat
400012,LA,6,Present,"Rep. Richard Baker [R, 1987-2008]",Republican
400013,WI,2,Present,"Rep. Tammy Baldwin [D, 1999-2012]",Democrat
400015,NC,10,Present,"Rep. Cass Ballenger [R, 1986-2004]",Republican
400017,MD,6,Present,"Rep. Roscoe Bartlett [R, 1993-2012]",Republican
400018,TX,6,Present,"Rep. Joe Barton [R, 1985-2018]",Republican
400019,NH,2,Present,"Rep. Charles “Charlie” Bass [R, 1995-2006]",Republican
400021,CA,30,Present,"Rep. Xavier Becerra [D, 1993-2002]",Democrat
400023,NE,1,Present,"Rep. Douglas “Doug” Bereuter [R, 1979-2004]",Republican
400024,NV,1,Present,"Rep. Shelley Berkley [D, 1999-2012]",Democrat
400025,CA,26,Present,"Rep. Howard Berman [D, 1983-2002]",Democrat
400026,AR,1,Present,"Rep. Robert “Marion” Berry [D, 1997-2010]",Democrat
400027,IL,13,Present,"Rep. Judy Biggert [R, 1999-2012]",Republican
400028,FL,9,Present,"Rep. Michael Bilirakis [R, 1983-2006]",Republican
400030,GA,2,Present,"Rep. Sanford Bishop Jr. [D, 1993-2018]",Democrat
400033,OR,3,Present,"Rep. Earl Blumenauer [D, 1996-2018]",Democrat
400034,MO,7,Present,"Rep. Roy Blunt [R, 1997-2010]",Republican
400035,NY,23,Present,"Rep. Sherwood “Sherry” Boehlert [R, 1993-2002]",Republican
400036,OH,8,Present,"Rep. John Boehner [R, 1991-2015]",Republican
400037,TX,23,Present,"Rep. Henry Bonilla [R, 1993-2006]",Republican
400039,CA,44,Present,"Rep. Mary Bono Mack [R, 1998-2002]",Republican
400042,IA,3,Present,"Rep. Leonard Boswell [D, 1997-2012]",Democrat
400043,VA,9,Present,"Rep. Frederick “Rick” Boucher [D, 1983-2010]",Democrat
400044,FL,2,Present,"Rep. Allen Boyd Jr. [D, 1997-2010]",Democrat
400046,TX,8,Present,"Rep. Kevin Brady [R, 1997-2018]",Republican
400047,PA,1,Present,"Rep. Robert Brady [D, 1998-2018]",Democrat
400048,FL,3,Present,"Rep. Corrine Brown [D, 1993-2012]",Democrat
400049,SC,1,Present,"Rep. Henry Brown Jr. [R, 2001-2010]",Republican
400050,OH,13,Present,"Rep. Sherrod Brown [D, 1993-2006]",Democrat
400054,NC,5,Present,"Rep. Richard Burr [R, 1995-2004]",Republican
400055,IN,6,Present,"Rep. Dan Burton [R, 1983-2002]",Republican
400056,IN,5,Present,"Rep. Stephen “Steve” Buyer [R, 1993-2002]",Republican
400057,CA,43,Present,"Rep. Ken Calvert [R, 1993-2002]",Republican
400058,MI,4,Present,"Rep. Dave Camp [R, 1993-2014]",Republican
400059,UT,3,Present,"Rep. Christopher “Chris” Cannon [R, 1997-2008]",Republican
400060,VA,7,Present,"Rep. Eric Cantor [R, 2001-2014]",Republican
400061,WV,2,Present,"Rep. Shelley Capito [R, 2001-2014]",Republican
400062,CA,22,Present,"Rep. Lois Capps [D, 1998-2002]",Democrat
400063,MA,8,Present,"Rep. Michael Capuano [D, 1999-2012]",Democrat
400064,MD,3,Present,"Rep. Benjamin Cardin [D, 1987-2006]",Democrat
400066,OK,2,Present,"Rep. Brad Carson [D, 2001-2004]",Democrat
400067,IN,10,Present,"Rep. Julia Carson [D, 1997-2002]",Democrat
400070,DE,0,Present,"Rep. Michael Castle [R, 1993-2010]",Republican
400071,OH,1,Present,"Rep. Steve Chabot [R, 1995-2008]",Republican
400074,MO,1,Present,"Rep. Lacy Clay Jr. [D, 2001-2018]",Democrat
400075,SC,6,Present,"Rep. James “Jim” Clyburn [D, 1993-2018]",Democrat
400076,NC,6,Present,"Rep. Howard Coble [R, 1985-2014]",Republican
400078,GA,3,Present,"Rep. Michael “Mac” Collins [R, 1993-2002]",Republican
400079,TX,19,Present,"Rep. Larry Combest [R, 1985-2003]",Republican
400080,MI,14,Present,"Rep. John Conyers Jr. [D, 1993-2012]",Democrat
400082,IL,12,Present,"Rep. Jerry Costello [D, 1993-2012]",Democrat
400083,CA,47,Present,"Rep. Christopher Cox [R, 1993-2002]",Republican
400084,AL,5,Present,"Rep. Robert “Bud” Cramer Jr. [D, 1991-2008]",Democrat
400085,IL,8,Present,"Rep. Philip “Phil” Crane [R, 1993-2004]",Republican
400086,FL,4,Present,"Rep. Ander Crenshaw [R, 2001-2016]",Republican
400087,NY,7,Present,"Rep. Joseph “Joe” Crowley [D, 1999-2012]",Democrat
400088,WY,0,Present,"Rep. Barbara Cubin [R, 1995-2008]",Republican
400089,TX,7,Present,"Rep. John Culberson [R, 2001-2018]",Republican
400090,MD,7,Present,"Rep. Elijah Cummings [D, 1996-2018]",Democrat
400091,CA,51,Present,"Rep. Randall “Duke” Cunningham [R, 1993-2002]",Republican
400093,IL,7,Present,"Rep. Danny Davis [D, 1997-2018]",Democrat
400094,FL,11,Present,"Rep. James “Jim” Davis [D, 1997-2006]",Democrat
400095,VA,1,Present,"Rep. Jo Ann Davis [R, 2001-2007]",Republican
400097,CA,49,Present,"Rep. Susan Davis [D, 2001-2002]",Democrat
400098,VA,11,Present,"Rep. Thomas “Tom” Davis III [R, 1995-2008]",Republican
400099,GA,9,Present,"Rep. Nathan Deal [R, 1993-2002]",Republican
400100,OR,4,Present,"Rep. Peter DeFazio [D, 1987-2018]",Democrat
400101,CO,1,Present,"Rep. Diana DeGette [D, 1997-2018]",Democrat
400102,MA,10,Present,"Rep. William “Bill” Delahunt [D, 1997-2010]",Democrat
400103,CT,3,Present,"Rep. Rosa DeLauro [D, 1991-2018]",Democrat
400104,TX,22,Present,"Rep. Thomas “Tom” DeLay [R, 1985-2006]",Republican
400105,SC,4,Present,"Rep. Jim DeMint [R, 1999-2004]",Republican
400106,FL,20,Present,"Rep. Peter Deutsch [D, 1993-2004]",Democrat
400107,FL,21,Present,"Rep. Lincoln Diaz-Balart [R, 1993-2010]",Republican
400109,WA,6,Present,"Rep. Norman “Norm” Dicks [D, 1977-2012]",Democrat
400110,MI,16,Present,"Rep. John Dingell [D, 1965-2002]",Democrat
400111,TX,10,Present,"Rep. Lloyd Doggett [D, 1995-2004]",Democrat
400112,CA,20,Present,"Rep. Calvin “Cal” Dooley [D, 1993-2004]",Democrat
400113,CA,4,Present,"Rep. John Doolittle [R, 1993-2008]",Republican
400114,PA,18,Present,"Rep. Michael “Mike” Doyle Jr. [D, 1995-2002]",Democrat
400115,CA,28,Present,"Rep. David Dreier [R, 1993-2002]",Republican
400116,TN,2,Present,"Rep. John “Jimmy” Duncan Jr. [R, 1988-2018]",Republican
400117,WA,8,Present,"Rep. Jennifer Dunn [R, 1993-2004]",Republican
400118,TX,11,Present,"Rep. Thomas “Chet” Edwards [D, 1991-2004]",Democrat
400119,MI,3,Present,"Rep. Vernon Ehlers [R, 1993-2010]",Republican
400121,MO,8,Present,"Rep. Jo Ann Emerson [R, 1997-2013]",Republican
400122,NY,17,Present,"Rep. Eliot Engel [D, 1993-2012]",Democrat
