Senate Vote #1 2003-01-07T17:09:00 - On the Motion to Adjourn (Motion to Adjourn)
person,state,district,vote,name,party
300001,HI,,Nay,"Sen. Daniel Akaka [D, 1990-2012]",Democrat
300002,TN,,Yea,"Sen. Lamar Alexander [R, 2003-2020]",Republican
300003,CO,,Yea,"Sen. Wayne Allard [R, 1997-2008]",Republican
300004,VA,,Yea,"Sen. George Allen [R, 2001-2006]",Republican
300005,MT,,Nay,"Sen. Max Baucus [D, 1978-2014]",Democrat
300006,IN,,Nay,"Sen. Evan Bayh [D, 1999-2010]",Democrat
300007,UT,,Yea,"Sen. Robert Bennett [R, 1993-2010]",Republican
300008,DE,,Nay,"Sen. Joseph Biden Jr. [D, 1973-2009]",Democrat
300009,NM,,Nay,"Sen. Jeff Bingaman [D, 1983-2012]",Democrat
300010,MO,,Yea,"Sen. Christopher “Kit” Bond [R, 1987-2010]",Republican
300011,CA,,Nay,"Sen. Barbara Boxer [D, 1993-2016]",Democrat
300012,LA,,Nay,"Sen. John Breaux [D, 1987-2004]",Democrat
300013,KS,,Yea,"Sen. Samuel “Sam” Brownback [R, 1996-2010]",Republican
300014,KY,,Yea,"Sen. Jim Bunning [R, 1999-2010]",Republican
300015,MT,,Yea,"Sen. Conrad Burns [R, 1989-2006]",Republican
300016,WV,,Nay,"Sen. Robert Byrd [D, 1959-2010]",Democrat
300017,CO,,Yea,"Sen. Ben Campbell [R, 1993-2004]",Republican
300018,WA,,Nay,"Sen. Maria Cantwell [D, 2001-2018]",Democrat
300019,DE,,Nay,"Sen. Thomas Carper [D, 2001-2018]",Democrat
300020,RI,,Yea,"Sen. Lincoln Chafee [R, 1999-2006]",Republican
300021,GA,,Yea,"Sen. Saxby Chambliss [R, 2003-2014]",Republican
300022,NY,,Nay,"Sen. Hillary Clinton [D, 2001-2009]",Democrat
300023,MS,,Yea,"Sen. Thad Cochran [R, 1979-2018]",Republican
300024,MN,,Yea,"Sen. Norm Coleman [R, 2003-2008]",Republican
300025,ME,,Yea,"Sen. Susan Collins [R, 1997-2020]",Republican
300026,ND,,Nay,"Sen. Kent Conrad [D, 1992-2012]",Democrat
300027,TX,,Yea,"Sen. John Cornyn [R, 2002-2020]",Republican
300028,NJ,,Nay,"Sen. Jon Corzine [D, 2001-2006]",Democrat
300029,ID,,Yea,"Sen. Larry Craig [R, 1991-2008]",Republican
300030,ID,,Yea,"Sen. Michael Crapo [R, 1999-2022]",Republican
300031,SD,,Nay,"Sen. Thomas “Tom” Daschle [D, 1987-2004]",Democrat
300032,MN,,Nay,"Sen. Mark Dayton [D, 2001-2006]",Democrat
300033,OH,,Yea,"Sen. Michael “Mike” DeWine [R, 1995-2006]",Republican
300034,CT,,Nay,"Sen. Christopher Dodd [D, 1981-2010]",Democrat
300035,NC,,Yea,"Sen. Elizabeth Dole [R, 2003-2008]",Republican
300036,NM,,Yea,"Sen. Pete Domenici [R, 1973-2008]",Republican
300037,ND,,Nay,"Sen. Byron Dorgan [D, 1992-2010]",Democrat
300038,IL,,Nay,"Sen. Richard Durbin [D, 1997-2020]",Democrat
300039,NC,,Nay,"Sen. John Edwards [D, 1999-2004]",Democrat
300040,NV,,Yea,"Sen. John Ensign [R, 2001-2011]",Republican
300041,WY,,Yea,"Sen. Michael Enzi [R, 1997-2020]",Republican
300042,WI,,Nay,"Sen. Russell Feingold [D, 1993-2010]",Democrat
300043,CA,,Nay,"Sen. Dianne Feinstein [D, 1992-2018]",Democrat
300044,IL,,Yea,"Sen. Peter Fitzgerald [R, 1999-2004]",Republican
300045,TN,,Yea,"Sen. William “Bill” Frist [R, 1995-2006]",Republican
300046,FL,,Nay,"Sen. Bob Graham [D, 1987-2004]",Democrat
300047,SC,,Yea,"Sen. Lindsey Graham [R, 2003-2020]",Republican
300048,IA,,Yea,"Sen. Charles “Chuck” Grassley [R, 1981-2022]",Republican
300049,NH,,Yea,"Sen. Judd Gregg [R, 1993-2010]",Republican
300050,NE,,Yea,"Sen. Charles “Chuck” Hagel [R, 1997-2008]",Republican
300051,IA,,Nay,"Sen. Thomas “Tom” Harkin [D, 1985-2014]",Democrat
300052,UT,,Yea,"Sen. Orrin Hatch [R, 1977-2018]",Republican
300053,SC,,Nay,"Sen. Ernest “Fritz” Hollings [D, 1966-2004]",Democrat
300054,TX,,Yea,"Sen. Kay Hutchison [R, 1993-2012]",Republican
300055,OK,,Yea,"Sen. James “Jim” Inhofe [R, 1994-2020]",Republican
300056,HI,,Nay,"Sen. Daniel Inouye [D, 1963-2012]",Democrat
300057,VT,,Nay,"Sen. James “Jim” Jeffords [I, 1989-2006]",Independent
300058,SD,,Nay,"Sen. Tim Johnson [D, 1997-2014]",Democrat
300059,MA,,Not Voting,"Sen. Edward “Ted” Kennedy [D, 1962-2009]",Democrat
300060,MA,,Not Voting,"Sen. John Kerry [D, 1985-2013]",Democrat
300061,WI,,Not Voting,"Sen. Herbert “Herb” Kohl [D, 1989-2012]",Democrat
300062,AZ,,Yea,"Sen. Jon Kyl [R, 1995-2012]",Republican
300063,LA,,Nay,"Sen. Mary Landrieu [D, 1997-2014]",Democrat
300064,NJ,,Nay,"Sen. Frank Lautenberg [D, 2003-2013]",Democrat
300065,VT,,Nay,"Sen. Patrick Leahy [D, 1975-2022]",Democrat
300066,MI,,Nay,"Sen. Carl Levin [D, 1979-2014]",Democrat
300067,CT,,Nay,"Sen. Joseph Lieberman [D, 1989-2012]",Democrat
300068,AR,,Nay,"Sen. Blanche Lincoln [D, 1999-2010]",Democrat
300069,MS,,Yea,"Sen. Trent Lott [R, 1989-2007]",Republican
300070,IN,,Yea,"Sen. Richard Lugar [R, 1977-2012]",Republican
300071,AZ,,Yea,"Sen. John McCain [R, 1987-2022]",Republican
300072,KY,,Yea,"Sen. Mitch McConnell [R, 1985-2020]",Republican
300073,MD,,Nay,"Sen. Barbara Mikulski [D, 1987-2016]",Democrat
300074,GA,,Nay,"Sen. Zell Miller [D, 2000-2004]",Democrat
300075,AK,,Yea,"Sen. Lisa Murkowski [R, 2003-2022]",Republican
300076,WA,,Nay,"Sen. Patty Murray [D, 1993-2022]",Democrat
300077,NE,,Nay,"Sen. Ben Nelson [D, 2001-2012]",Democrat
300078,FL,,Nay,"Sen. Bill Nelson [D, 2001-2018]",Democrat
300079,OK,,Yea,"Sen. Don Nickles [R, 1981-2004]",Republican
300080,AR,,Nay,"Sen. Mark Pryor [D, 2003-2014]",Democrat
300081,RI,,Nay,"Sen. John “Jack” Reed [D, 1997-2020]",Democrat
300082,NV,,Nay,"Sen. Harry Reid [D, 1987-2016]",Democrat
300083,KS,,Yea,"Sen. Pat Roberts [R, 1997-2020]",Republican
300084,WV,,Nay,"Sen. John “Jay” Rockefeller IV [D, 1985-2014]",Democrat
300085,PA,,Yea,"Sen. Richard “Rick” Santorum [R, 1995-2006]",Republican
300086,MD,,Nay,"Sen. Paul Sarbanes [D, 1977-2006]",Democrat
300087,NY,,Nay,"Sen. Charles “Chuck” Schumer [D, 1999-2022]",Democrat
300088,AL,,Yea,"Sen. Jefferson “Jeff” Sessions [R, 1997-2017]",Republican
300089,AL,,Yea,"Sen. Richard Shelby [R, 1987-2022]",Republican
300090,OR,,Yea,"Sen. Gordon Smith [R, 1997-2008]",Republican
300091,ME,,Yea,"Sen. Olympia Snowe [R, 1995-2012]",Republican
300092,PA,,Yea,"Sen. Arlen Specter [R, 1981-2010]",Republican
300093,MI,,Nay,"Sen. Debbie Stabenow [D, 2001-2018]",Democrat
300094,AK,,Yea,"Sen. Ted Stevens [R, 1968-2008]",Republican
300095,NH,,Yea,"Sen. John Sununu [R, 2003-2008]",Republican
300096,MO,,Yea,"Sen. James “Jim” Talent [R, 2002-2006]",Republican
300097,WY,,Yea,"Sen. Craig Thomas [R, 1995-2007]",Republican
300098,OH,,Yea,"Sen. George Voinovich [R, 1999-2010]",Republican
300099,VA,,Yea,"Sen. John Warner [R, 1979-2008]",Republican
300100,OR,,Nay,"Sen. Ron Wyden [D, 1996-2022]",Democrat
