House Vote #1 2004-01-20T12:32:00 - Call of the House
person,state,district,vote,name,party
400001,HI,1,Not Voting,"Rep. Neil Abercrombie [D, 1991-2010]",Democrat
400003,NY,5,Present,"Rep. Gary Ackerman [D, 1993-2012]",Democrat
400004,AL,4,Not Voting,"Rep. Robert Aderholt [R, 1997-2018]",Republican
400005,MO,2,Present,"Rep. Todd Akin [R, 2001-2012]",Republican
400006,LA,5,Present,"Rep. Rodney Alexander [R, 2003-2013]",Republican
400007,ME,1,Present,"Rep. Thomas “Tom” Allen [D, 1997-2008]",Democrat
400008,NJ,1,Not Voting,"Rep. Robert “Rob” Andrews [D, 1990-2014]",Democrat
400009,CA,43,Present,"Rep. Joe Baca [D, 2003-2012]",Democrat
400010,AL,6,Present,"Rep. Spencer Bachus III [R, 1993-2014]",Republican
400011,WA,3,Present,"Rep. Brian Baird [D, 1999-2010]",Democrat
400012,LA,6,Present,"Rep. Richard Baker [R, 1987-2008]",Republican
400013,WI,2,Not Voting,"Rep. Tammy Baldwin [D, 1999-2012]",Democrat
400014,NC,1,Present,"Rep. Frank Ballance Jr. [D, 2003-2004]",Democrat
400015,NC,10,Present,"Rep. Cass Ballenger [R, 1986-2004]",Republican
400016,SC,3,Not Voting,"Rep. James “J. Gresham” Barrett [R, 2003-2010]",Republican
400017,MD,6,Present,"Rep. Roscoe Bartlett [R, 1993-2012]",Republican
400018,TX,6,Present,"Rep. Joe Barton [R, 1985-2018]",Republican
400019,NH,2,Present,"Rep. Charles “Charlie” Bass [R, 1995-2006]",Republican
400020,CO,7,Present,"Rep. Bob Beauprez [R, 2003-2006]",Republican
400021,CA,31,Present,"Rep. Xavier Becerra [D, 2003-2012]",Democrat
400022,TX,25,Present,"Rep. Chris Bell [D, 2003-2004]",Democrat
400023,NE,1,Present,"Rep. Douglas “Doug” Bereuter [R, 1979-2004]",Republican
400024,NV,1,Present,"Rep. Shelley Berkley [D, 1999-2012]",Democrat
400025,CA,28,Not Voting,"Rep. Howard Berman [D, 2003-2012]",Democrat
400026,AR,1,Present,"Rep. Robert “Marion” Berry [D, 1997-2010]",Democrat
400027,IL,13,Present,"Rep. Judy Biggert [R, 1999-2012]",Republican
400028,FL,9,Not Voting,"Rep. Michael Bilirakis [R, 1983-2006]",Republican
400029,UT,1,Present,"Rep. Rob Bishop [R, 2003-2018]",Republican
400030,GA,2,Present,"Rep. Sanford Bishop Jr. [D, 1993-2018]",Democrat
400031,NY,1,Present,"Rep. Timothy Bishop [D, 2003-2014]",Democrat
400032,TN,7,Present,"Rep. Marsha Blackburn [R, 2003-2018]",Republican
400033,OR,3,Present,"Rep. Earl Blumenauer [D, 1996-2018]",Democrat
400034,MO,7,Present,"Rep. Roy Blunt [R, 1997-2010]",Republican
400035,NY,24,Not Voting,"Rep. Sherwood “Sherry” Boehlert [R, 2003-2006]",Republican
400036,OH,8,Present,"Rep. John Boehner [R, 1991-2015]",Republican
400037,TX,23,Present,"Rep. Henry Bonilla [R, 1993-2006]",Republican
400038,AL,1,Present,"Rep. Jo Bonner [R, 2003-2013]",Republican
400039,CA,45,Present,"Rep. Mary Bono Mack [R, 2003-2012]",Republican
400040,AR,3,Present,"Rep. John Boozman [R, 2001-2010]",Republican
400042,IA,3,Present,"Rep. Leonard Boswell [D, 1997-2012]",Democrat
400043,VA,9,Present,"Rep. Frederick “Rick” Boucher [D, 1983-2010]",Democrat
400044,FL,2,Present,"Rep. Allen Boyd Jr. [D, 1997-2010]",Democrat
400045,NH,1,Present,"Rep. Jeb Bradley [R, 2003-2006]",Republican
400046,TX,8,Not Voting,"Rep. Kevin Brady [R, 1997-2018]",Republican
400047,PA,1,Not Voting,"Rep. Robert Brady [D, 1998-2018]",Democrat
400048,FL,3,Not Voting,"Rep. Corrine Brown [D, 1993-2012]",Democrat
400049,SC,1,Present,"Rep. Henry Brown Jr. [R, 2001-2010]",Republican
400050,OH,13,Present,"Rep. Sherrod Brown [D, 1993-2006]",Democrat
400051,FL,5,Present,"Rep. Virginia “Ginny” Brown-Waite [R, 2003-2010]",Republican
400052,TX,26,Present,"Rep. Michael Burgess [R, 2003-2018]",Republican
400053,GA,12,Present,"Rep. Max Burns [R, 2003-2004]",Republican
400054,NC,5,Present,"Rep. Richard Burr [R, 1995-2004]",Republican
400055,IN,5,Not Voting,"Rep. Dan Burton [R, 2003-2012]",Republican
400056,IN,4,Present,"Rep. Stephen “Steve” Buyer [R, 2003-2010]",Republican
400057,CA,44,Present,"Rep. Ken Calvert [R, 2003-2012]",Republican
400058,MI,4,Not Voting,"Rep. Dave Camp [R, 1993-2014]",Republican
400059,UT,3,Present,"Rep. Christopher “Chris” Cannon [R, 1997-2008]",Republican
400060,VA,7,Not Voting,"Rep. Eric Cantor [R, 2001-2014]",Republican
400061,WV,2,Present,"Rep. Shelley Capito [R, 2001-2014]",Republican
400062,CA,23,Present,"Rep. Lois Capps [D, 2003-2012]",Democrat
400063,MA,8,Present,"Rep. Michael Capuano [D, 1999-2012]",Democrat
400064,MD,3,Present,"Rep. Benjamin Cardin [D, 1987-2006]",Democrat
400065,CA,18,Present,"Rep. Dennis Cardoza [D, 2003-2012]",Democrat
400066,OK,2,Present,"Rep. Brad Carson [D, 2001-2004]",Democrat
400067,IN,7,Not Voting,"Rep. Julia Carson [D, 2003-2007]",Democrat
400068,TX,31,Present,"Rep. John Carter [R, 2003-2018]",Republican
400069,HI,2,Present,"Rep. Ed Case [D, 2003-2006]",Democrat
400070,DE,0,Present,"Rep. Michael Castle [R, 1993-2010]",Republican
400071,OH,1,Present,"Rep. Steve Chabot [R, 1995-2008]",Republican
400072,IN,2,Present,"Rep. Chris Chocola [R, 2003-2006]",Republican
400074,MO,1,Present,"Rep. Lacy Clay Jr. [D, 2001-2018]",Democrat
400075,SC,6,Present,"Rep. James “Jim” Clyburn [D, 1993-2018]",Democrat
400076,NC,6,Present,"Rep. Howard Coble [R, 1985-2014]",Republican
400077,OK,4,Present,"Rep. Tom Cole [R, 2003-2018]",Republican
400078,GA,8,Present,"Rep. Michael “Mac” Collins [R, 2003-2004]",Republican
400080,MI,14,Present,"Rep. John Conyers Jr. [D, 1993-2012]",Democrat
400081,TN,5,Not Voting,"Rep. Jim Cooper [D, 2003-2018]",Democrat
400082,IL,12,Not Voting,"Rep. Jerry Costello [D, 1993-2012]",Democrat
400083,CA,48,Not Voting,"Rep. Christopher Cox [R, 2003-2005]",Republican
400084,AL,5,Not Voting,"Rep. Robert “Bud” Cramer Jr. [D, 1991-2008]",Democrat
400085,IL,8,Not Voting,"Rep. Philip “Phil” Crane [R, 1993-2004]",Republican
400086,FL,4,Not Voting,"Rep. Ander Crenshaw [R, 2001-2016]",Republican
400087,NY,7,Present,"Rep. Joseph “Joe” Crowley [D, 1999-2012]",Democrat
400088,WY,0,Present,"Rep. Barbara Cubin [R, 1995-2008]",Republican
400089,TX,7,Present,"Rep. John Culberson [R, 2001-2018]",Republican
400090,MD,7,Present,"Rep. Elijah Cummings [D, 1996-2018]",Democrat
400091,CA,50,Present,"Rep. Randall “Duke” Cunningham [R, 2003-2005]",Republican
400092,AL,7,Not Voting,"Rep. Artur Davis [D, 2003-2010]",Democrat
400093,IL,7,Present,"Rep. Danny Davis [D, 1997-2018]",Democrat
400094,FL,11,Not Voting,"Rep. James “Jim” Davis [D, 1997-2006]",Democrat
400095,VA,1,Present,"Rep. Jo Ann Davis [R, 2001-2007]",Republican
400096,TN,4,Present,"Rep. Lincoln Davis [D, 2003-2010]",Democrat
400097,CA,53,Present,"Rep. Susan Davis [D, 2003-2018]",Democrat
400098,VA,11,Present,"Rep. Thomas “Tom” Davis III [R, 1995-2008]",Republican
