person,state,district,vote,name,party
400003,NY,5,Present,"Rep. Gary Ackerman [D, 1993-2012]",Democrat
400004,AL,4,Present,"Rep. Robert Aderholt [R, 1997-2018]",Republican
400005,MO,2,Present,"Rep. Todd Akin [R, 2001-2012]",Republican
400006,LA,5,Present,"Rep. Rodney Alexander [R, 2003-2013]",Republican
400008,NJ,1,Present,"Rep. Robert “Rob” Andrews [D, 1990-2014]",Democrat
400009,CA,43,Present,"Rep. Joe Baca [D, 2003-2012]",Democrat
400010,AL,6,Present,"Rep. Spencer Bachus III [R, 1993-2014]",Republican
400013,WI,2,Present,"Rep. Tammy Baldwin [D, 1999-2012]",Democrat
400017,MD,6,Present,"Rep. Roscoe Bartlett [R, 1993-2012]",Republican
400018,TX,6,Present,"Rep. Joe Barton [R, 1985-2018]",Republican
400019,NH,2,Present,"Rep. Charles “Charlie” Bass [R, 2011-2012]",Republican
400021,CA,31,Present,"Rep. Xavier Becerra [D, 2003-2012]",Democrat
400024,NV,1,Present,"Rep. Shelley Berkley [D, 1999-2012]",Democrat
400025,CA,28,Present,"Rep. Howard Berman [D, 2003-2012]",Democrat
400027,IL,13,Present,"Rep. Judy Biggert [R, 1999-2012]",Republican
400029,UT,1,Present,"Rep. Rob Bishop [R, 2003-2018]",Republican
400030,GA,2,Present,"Rep. Sanford Bishop Jr. [D, 1993-2018]",Democrat
400031,NY,1,Present,"Rep. Timothy Bishop [D, 2003-2014]",Democrat
400032,TN,7,Present,"Rep. Marsha Blackburn [R, 2003-2018]",Republican
400033,OR,3,Present,"Rep. Earl Blumenauer [D, 1996-2018]",Democrat
400036,OH,8,Present,"Rep. John Boehner [R, 1991-2015]",Republican
400038,AL,1,Present,"Rep. Jo Bonner [R, 2003-2013]",Republican
400039,CA,45,Present,"Rep. Mary Bono Mack [R, 2003-2012]",Republican
400042,IA,3,Present,"Rep. Leonard Boswell [D, 1997-2012]",Democrat
400046,TX,8,Present,"Rep. Kevin Brady [R, 1997-2018]",Republican
400047,PA,1,Present,"Rep. Robert Brady [D, 1998-2018]",Democrat
400048,FL,3,Present,"Rep. Corrine Brown [D, 1993-2012]",Democrat
400052,TX,26,Present,"Rep. Michael Burgess [R, 2003-2018]",Republican
400055,IN,5,Present,"Rep. Dan Burton [R, 2003-2012]",Republican
400057,CA,44,Present,"Rep. Ken Calvert [R, 2003-2012]",Republican
400058,MI,4,Present,"Rep. Dave Camp [R, 1993-2014]",Republican
400060,VA,7,Present,"Rep. Eric Cantor [R, 2001-2014]",Republican
400061,WV,2,Present,"Rep. Shelley Capito [R, 2001-2014]",Republican
400062,CA,23,Present,"Rep. Lois Capps [D, 2003-2012]",Democrat
400063,MA,8,Present,"Rep. Michael Capuano [D, 1999-2012]",Democrat
400065,CA,18,Present,"Rep. Dennis Cardoza [D, 2003-2012]",Democrat
400068,TX,31,Present,"Rep. John Carter [R, 2003-2018]",Republican
