Senate Vote #1 2012-01-23T17:32:00 - On the Nomination PN468: John M. Gerrard, of Nebraska, to be United States District Judge for the District of Nebraska
person,state,district,vote,name,party
300001,HI,,Yea,"Sen. Daniel Akaka [D, 1990-2012]",Democrat
300002,TN,,Yea,"Sen. Lamar Alexander [R, 2003-2020]",Republican
300005,MT,,Yea,"Sen. Max Baucus [D, 1978-2014]",Democrat
300009,NM,,Yea,"Sen. Jeff Bingaman [D, 1983-2012]",Democrat
300011,CA,,Yea,"Sen. Barbara Boxer [D, 1993-2016]",Democrat
300018,WA,,Yea,"Sen. Maria Cantwell [D, 2001-2018]",Democrat
300019,DE,,Yea,"Sen. Thomas Carper [D, 2001-2018]",Democrat
300021,GA,,Not Voting,"Sen. Saxby Chambliss [R, 2003-2014]",Republican
300023,MS,,Yea,"Sen. Thad Cochran [R, 1979-2018]",Republican
300025,ME,,Yea,"Sen. Susan Collins [R, 1997-2020]",Republican
300026,ND,,Yea,"Sen. Kent Conrad [D, 1992-2012]",Democrat
300027,TX,,Nay,"Sen. John Cornyn [R, 2002-2020]",Republican
300030,ID,,Yea,"Sen. Michael Crapo [R, 1999-2022]",Republican
300038,IL,,Yea,"Sen. Richard Durbin [D, 1997-2020]",Democrat
300041,WY,,Yea,"Sen. Michael Enzi [R, 1997-2020]",Republican
300043,CA,,Yea,"Sen. Dianne Feinstein [D, 1992-2018]",Democrat
300047,SC,,Not Voting,"Sen. Lindsey Graham [R, 2003-2020]",Republican
300048,IA,,Yea,"Sen. Charles “Chuck” Grassley [R, 1981-2022]",Republican
300051,IA,,Yea,"Sen. Thomas “Tom” Harkin [D, 1985-2014]",Democrat
300052,UT,,Not Voting,"Sen. Orrin Hatch [R, 1977-2018]",Republican
300054,TX,,Yea,"Sen. Kay Hutchison [R, 1993-2012]",Republican
300055,OK,,Nay,"Sen. James “Jim” Inhofe [R, 1994-2020]",Republican
300056,HI,,Yea,"Sen. Daniel Inouye [D, 1963-2012]",Democrat
300058,SD,,Yea,"Sen. Tim Johnson [D, 1997-2014]",Democrat
300060,MA,,Yea,"Sen. John Kerry [D, 1985-2013]",Democrat
300061,WI,,Yea,"Sen. Herbert “Herb” Kohl [D, 1989-2012]",Democrat
300062,AZ,,Yea,"Sen. Jon Kyl [R, 1995-2012]",Republican
300063,LA,,Yea,"Sen. Mary Landrieu [D, 1997-2014]",Democrat
300064,NJ,,Not Voting,"Sen. Frank Lautenberg [D, 2003-2013]",Democrat
300065,VT,,Yea,"Sen. Patrick Leahy [D, 1975-2022]",Democrat
300066,MI,,Yea,"Sen. Carl Levin [D, 1979-2014]",Democrat
300067,CT,,Not Voting,"Sen. Joseph Lieberman [I, 1989-2012]",Independent
300070,IN,,Yea,"Sen. Richard Lugar [R, 1977-2012]",Republican
300071,AZ,,Yea,"Sen. John McCain [R, 1987-2022]",Republican
300072,KY,,Yea,"Sen. Mitch McConnell [R, 1985-2020]",Republican
300073,MD,,Not Voting,"Sen. Barbara Mikulski [D, 1987-2016]",Democrat
300075,AK,,Yea,"Sen. Lisa Murkowski [R, 2003-2022]",Republican
300076,WA,,Yea,"Sen. Patty Murray [D, 1993-2022]",Democrat
300077,NE,,Yea,"Sen. Ben Nelson [D, 2001-2012]",Democrat
300078,FL,,Yea,"Sen. Bill Nelson [D, 2001-2018]",Democrat
300080,AR,,Yea,"Sen. Mark Pryor [D, 2003-2014]",Democrat
300081,RI,,Yea,"Sen. John “Jack” Reed [D, 1997-2020]",Democrat
300082,NV,,Yea,"Sen. Harry Reid [D, 1987-2016]",Democrat
300083,KS,,Yea,"Sen. Pat Roberts [R, 1997-2020]",Republican
300084,WV,,Yea,"Sen. John “Jay” Rockefeller IV [D, 1985-2014]",Democrat
300087,NY,,Yea,"Sen. Charles “Chuck” Schumer [D, 1999-2022]",Democrat
300088,AL,,Nay,"Sen. Jefferson “Jeff” Sessions [R, 1997-2017]",Republican
300089,AL,,Nay,"Sen. Richard Shelby [R, 1987-2022]",Republican
300091,ME,,Yea,"Sen. Olympia Snowe [R, 1995-2012]",Republican
300093,MI,,Yea,"Sen. Debbie Stabenow [D, 2001-2018]",Democrat
300100,OR,,Yea,"Sen. Ron Wyden [D, 1996-2022]",Democrat
400034,MO,,Yea,"Sen. Roy Blunt [R, 2011-2022]",Republican
400040,AR,,Nay,"Sen. John Boozman [R, 2011-2022]",Republican
400050,OH,,Yea,"Sen. Sherrod Brown [D, 2007-2018]",Democrat
400054,NC,,Yea,"Sen. Richard Burr [R, 2005-2022]",Republican
400064,MD,,Yea,"Sen. Benjamin Cardin [D, 2007-2018]",Democrat
400105,SC,,Nay,"Sen. Jim DeMint [R, 2005-2012]",Republican
400194,GA,,Nay,"Sen. John “Johnny” Isakson [R, 2005-2022]",Republican
400222,IL,,Not Voting,"Sen. Mark Kirk [R, 2010-2016]",Republican
400272,NJ,,Yea,"Sen. Robert “Bob” Menéndez [D, 2006-2018]",Democrat
400284,KS,,Yea,"Sen. Jerry Moran [R, 2011-2022]",Republican
400325,OH,,Yea,"Sen. Robert “Rob” Portman [R, 2011-2022]",Republican
400357,VT,,Not Voting,"Sen. Bernard “Bernie” Sanders [I, 2007-2018]",Independent
400408,PA,,Nay,"Sen. Patrick “Pat” Toomey [R, 2011-2022]",Republican
400412,CO,,Yea,"Sen. Mark Udall [D, 2009-2014]",Democrat
400413,NM,,Yea,"Sen. Tom Udall [D, 2009-2020]",Democrat
400418,LA,,Nay,"Sen. David Vitter [R, 2005-2016]",Republican
400432,MS,,Nay,"Sen. Roger Wicker [R, 2007-2018]",Republican
400546,SD,,Yea,"Sen. John Thune [R, 2005-2022]",Republican
400576,OK,,Nay,"Sen. Thomas Coburn [R, 2005-2014]",Republican
402675,IN,,Yea,"Sen. Daniel Coats [R, 2011-2016]",Republican
412218,NV,,Yea,"Sen. Dean Heller [R, 2011-2018]",Republican
412223,NY,,Yea,"Sen. Kirsten Gillibrand [D, 2009-2018]",Democrat
412242,MN,,Yea,"Sen. Amy Klobuchar [D, 2007-2018]",Democrat
412243,MO,,Yea,"Sen. Claire McCaskill [D, 2007-2018]",Democrat
412244,MT,,Yea,"Sen. Jon Tester [D, 2007-2018]",Democrat
412246,PA,,Yea,"Sen. Robert “Bob” Casey Jr. [D, 2007-2018]",Democrat
412247,RI,,Yea,"Sen. Sheldon Whitehouse [D, 2007-2018]",Democrat
412248,TN,,Yea,"Sen. Bob Corker [R, 2007-2018]",Republican
412249,VA,,Yea,"Sen. Jim Webb [D, 2007-2012]",Democrat
412251,WY,,Yea,"Sen. John Barrasso [R, 2007-2018]",Republican
412320,NE,,Yea,"Sen. Mike Johanns [R, 2009-2014]",Republican
412321,VA,,Yea,"Sen. Mark Warner [D, 2009-2020]",Democrat
412322,ID,,Nay,"Sen. James Risch [R, 2009-2020]",Republican
412323,NH,,Yea,"Sen. Jeanne Shaheen [D, 2009-2020]",Democrat
412324,NC,,Not Voting,"Sen. Kay Hagan [D, 2009-2014]",Democrat
412325,OR,,Yea,"Sen. Jeff Merkley [D, 2009-2020]",Democrat
412326,AK,,Yea,"Sen. Mark Begich [D, 2009-2014]",Democrat
412330,CO,,Yea,"Sen. Michael Bennet [D, 2009-2022]",Democrat
412378,MN,,Yea,"Sen. Alan “Al” Franken [D, 2009-2017]",Democrat
412384,MA,,Yea,"Sen. Scott Brown [R, 2010-2012]",Republican
412390,DE,,Yea,"Sen. Chris Coons [D, 2010-2020]",Democrat
412391,WV,,Yea,"Sen. Joe Manchin III [D, 2010-2018]",Democrat
412490,CT,,Yea,"Sen. Richard Blumenthal [D, 2011-2022]",Democrat
412491,FL,,Nay,"Sen. Marco Rubio [R, 2011-2022]",Republican
412492,KY,,Nay,"Sen. Rand Paul [R, 2011-2022]",Republican
412493,NH,,Yea,"Sen. Kelly Ayotte [R, 2011-2016]",Republican
412494,ND,,Not Voting,"Sen. John Hoeven [R, 2011-2022]",Republican
412495,UT,,Nay,"Sen. Mike Lee [R, 2011-2022]",Republican
412496,WI,,Nay,"Sen. Ron Johnson [R, 2011-2022]",Republican
