name,person,CID
Daniel Akaka,300001,N00007653
Lamar Alexander,300002,N00009888
Wayne Allard,300003,N00009082
George Allen,300004,N00009957
Max Baucus,300005,N00004643
Evan Bayh,300006,N00003762
Robert Bennett,300007,N00006347
Joseph Biden,300008,N00001669
Jeff Bingaman,300009,N00006518
Christopher Bond,300010,-1
Barbara Boxer,300011,N00006692
John Breaux,300012,N00005385
Samuel Brownback,300013,-1
Jim Bunning,300014,N00003437
Conrad Burns,300015,N00004638
Robert Byrd,300016,N00002200
Ben Campbell,300017,-1
Maria Cantwell,300018,N00007836
Thomas Carper,300019,-1
Lincoln Chafee,300020,N00009954
Saxby Chambliss,300021,N00002685
Hillary Clinton,300022,N00000019
Thad Cochran,300023,N00003328
Norm Coleman,300024,N00013870
Susan Collins,300025,N00000491
Kent Conrad,300026,N00004613
John Cornyn,300027,N00024852
Jon Corzine,300028,N00009945
Larry Craig,300029,N00002091
Michael Crapo,300030,-1
Thomas Daschle,300031,-1
Mark Dayton,300032,N00013291
Michael DeWine,300033,-1
Christopher Dodd,300034,-1
Elizabeth Dole,300035,N00008071
Pete Domenici,300036,N00006515
Byron Dorgan,300037,N00004615
Richard Durbin,300038,-1
John Edwards,300039,N00002283
John Ensign,300040,N00006619
Michael Enzi,300041,-1
Russell Feingold,300042,-1
Dianne Feinstein,300043,N00007364
Peter Fitzgerald,300044,N00004690
William Frist,300045,-1
Bob Graham,300046,N00002742
Lindsey Graham,300047,N00009975
Charles Grassley,300048,-1
Judd Gregg,300049,N00000444
Charles Hagel,300050,-1
Thomas Harkin,300051,-1
Orrin Hatch,300052,N00009869
Ernest Hollings,300053,-1
Kay Hutchison,300054,-1
James Inhofe,300055,N00005582
Daniel Inouye,300056,N00001762
James Jeffords,300057,N00000534
Tim Johnson,300058,N00027216
Edward Kennedy,300059,N00000308
John Kerry,300060,N00000245
Herbert Kohl,300061,-1
Jon Kyl,300062,N00006406
Mary Landrieu,300063,N00005395
Frank Lautenberg,300064,N00000659
Patrick Leahy,300065,N00009918
Carl Levin,300066,N00001691
Joseph Lieberman,300067,-1
Blanche Lincoln,300068,N00008092
Trent Lott,300069,N00003329
Richard Lugar,300070,N00001764
John McCain,300071,N00006424
Mitch McConnell,300072,N00003389
Barbara Mikulski,300073,N00001945
Zell Miller,300074,N00013436
Lisa Murkowski,300075,N00026050
Patty Murray,300076,N00007876
Ben Nelson,300077,N00005329
Bill Nelson,300078,N00009926
Don Nickles,300079,N00005617
Mark Pryor,300080,N00013823
John Reed,300081,-1
Harry Reid,300082,N00009922
Pat Roberts,300083,N00005285
John Rockefeller,300084,-1
Richard Santorum,300085,-1
Paul Sarbanes,300086,N00001979
Charles Schumer,300087,N00001093
Jefferson Sessions,300088,-1
Richard Shelby,300089,N00009920
Gordon Smith,300090,N00007815
Olympia Snowe,300091,N00000480
Arlen Specter,300092,N00001604
Debbie Stabenow,300093,-1
Ted Stevens,300094,N00007997
John Sununu,300095,N00000397
James Talent,300096,N00005004
Craig Thomas,300097,N00006246
George Voinovich,300098,N00003583
John Warner,300099,N00002061
Ron Wyden,300100,N00007724
