name,person,CID
Robert Aderholt,400004,N00003028
Joe Barton,400018,N00005656
Xavier Becerra,400021,N00009774
Rob Bishop,400029,N00025292
Sanford Bishop,400030,N00002674
Marsha Blackburn,400032,N00003105
Earl Blumenauer,400033,N00007727
Kevin Brady,400046,N00005883
Robert Brady,400047,N00001619
Corrine Brown,400048,N00002713
Michael Burgess,400052,N00025219
Ken Calvert,400057,N00007099
Lois Capps,400062,N00007232
Michael Capuano,400063,N00000267
John Carter,400068,N00025095
Steve Chabot,400071,N00003689
Lacy Clay,400074,-1
James Clyburn,400075,N00002408
Tom Cole,400077,N00025726
John Conyers,400080,N00004029
Jim Cooper,400081,N00003132
Ander Crenshaw,400086,N00012739
Joseph Crowley,400087,N00001127
John Culberson,400089,N00009738
Elijah Cummings,400090,N00001971
Danny Davis,400093,N00004884
Susan Davis,400097,N00035321
Peter DeFazio,400100,N00007781
Diana DeGette,400101,N00006134
Rosa DeLauro,400103,N00000615
Mario Diaz-Balart,400108,N00025337
Lloyd Doggett,400111,N00006023
Michael Doyle,400114,-1
John Duncan,400116,N00003209
Eliot Engel,400122,N00001003
Anna Eshoo,400124,N00007335
Sam Farr,400129,N00007312
Chaka Fattah,400130,N00001746
Randy Forbes,400137,N00013799
Trent Franks,400141,N00006423
Rodney Frelinghuysen,400142,N00000684
Scott Garrett,400145,N00000743
Bob Goodlatte,400154,N00009154
Kay Granger,400157,N00008799
Sam Graves,400158,N00013323
Gene Green,400160,N00005870
Raúl Grijalva,400162,-1
Luis Gutiérrez,400163,-1
Alcee Hastings,400170,N00002884
Jeb Hensarling,400175,N00024922
Rubén Hinojosa,400179,-1
Michael Honda,400185,-1
Steny Hoyer,400189,N00001821
Steve Israel,400195,N00013345
Darrell Issa,400196,N00007017
Sheila Jackson Lee,400199,-1
Eddie Johnson,400204,-1
Sam Johnson,400206,N00036859
Walter Jones,400209,N00002299
Marcy Kaptur,400211,N00003522
Ron Kind,400218,N00004403
Peter King,400219,-1
Steve King,400220,-1
John Kline,400224,N00004436
James Langevin,400230,-1
Rick Larsen,400232,N00009759
John Larson,400233,N00000575
Barbara Lee,400237,N00008046
Sander Levin,400238,N00003950
John Lewis,400240,N00035682
Frank LoBiondo,400244,N00000851
Zoe Lofgren,400245,N00007479
Nita Lowey,400246,N00001024
Frank Lucas,400247,N00005559
Stephen Lynch,400249,N00013855
Carolyn Maloney,400251,N00000078
Betty McCollum,400259,N00012942
Jim McDermott,400262,N00009829
James McGovern,400263,N00000179
Gregory Meeks,400271,N00001171
John Mica,400273,N00002793
Candice Miller,400276,N00009795
Jeff Miller,400279,N00039702
Tim Murphy,400285,N00024992
Jerrold Nadler,400289,N00000939
Grace Napolitano,400290,N00006789
Richard Neal,400291,N00000153
Devin Nunes,400297,N00007248
Frank Pallone,400308,N00000781
Bill Pascrell,400309,N00000751
Stevan Pearce,400313,-1
Nancy Pelosi,400314,N00007360
Collin Peterson,400316,N00004558
Joseph Pitts,400320,-1
David Price,400326,N00002260
Charles Rangel,400333,N00000964
Harold Rogers,400340,-1
Mike Rogers,400341,N00024759
Dana Rohrabacher,400343,N00007151
Ileana Ros-Lehtinen,400344,N00002858
Lucille Roybal-Allard,400347,N00006671
Edward Royce,400348,-1
Dutch Ruppersberger,400349,N00025482
Bobby Rush,400350,N00004887
Paul Ryan,400351,N00004357
Tim Ryan,400352,N00025280
Linda Sánchez,400355,-1
Loretta Sanchez,400356,N00008274
Janice Schakowsky,400360,-1
Adam Schiff,400361,N00009585
David Scott,400363,N00024871
Robert Scott,400364,-1
James Sensenbrenner,400365,N00004291
José Serrano,400366,-1
Pete Sessions,400367,N00005681
Brad Sherman,400371,N00006897
John Shimkus,400373,N00004961
Michael Simpson,400376,-1
Louise Slaughter,400378,N00001311
Adam Smith,400379,N00007833
Christopher Smith,400380,-1
Lamar Smith,400381,N00001811
Bennie Thompson,400402,N00003288
Mike Thompson,400403,N00007419
Mac Thornberry,400404,N00006052
Patrick Tiberi,400406,N00009699
Michael Turner,400411,N00025175
Fred Upton,400414,N00004133
Chris Van Hollen,400415,-1
Nydia Velázquez,400416,-1
Peter Visclosky,400417,-1
Greg Walden,400419,N00007690
Maxine Waters,400422,N00006690
Ed Whitfield,400431,N00003467
Joe Wilson,400433,N00024809
Don Young,400440,N00007999
Randy Neugebauer,400441,N00026043
Matt Salmon,400606,N00006446
Marshall Sanford,400607,-1
George Butterfield,400616,-1
Jim Costa,400618,N00026341
Debbie Wasserman Schultz,400623,-1
Tom Price,400626,N00026160
Lynn Westmoreland,400627,N00026163
Daniel Lipinski,400630,N00027239
Charles Boustany,400636,N00026595
Emanuel Cleaver,400639,N00026790
Jeff Fortenberry,400640,N00026631
Brian Higgins,400641,N00027060
Virginia Foxx,400643,N00026166
Patrick McHenry,400644,N00026627
Michael Fitzpatrick,400646,N00027229
Charles Dent,400648,-1
Louie Gohmert,400651,-1
Ted Poe,400652,N00026457
Al Green,400653,N00026686
Michael McCaul,400654,N00026460
Michael Conaway,400655,-1
Kenny Marchant,400656,N00026710
Henry Cuellar,400657,N00024978
Cathy McMorris Rodgers,400659,-1
David Reichert,400660,-1
Gwen Moore,400661,N00026914
Doris Matsui,400663,N00027459
Richard Nolan,408211,-1
Bill Shuster,409888,N00013770
Albio Sires,412186,N00027523
Jerry McNerney,412189,N00026926
Kevin McCarthy,412190,N00028152
Doug Lamborn,412191,-1
Ed Perlmutter,412192,-1
Joe Courtney,412193,N00024842
Kathy Castor,412195,N00027514
Vern Buchanan,412196,-1
Henry Johnson,412199,-1
Peter Roskam,412202,N00004719
David Loebsack,412209,N00027741
John Yarmuth,412211,N00028073
John Sarbanes,412212,N00027751
Tim Walberg,412213,N00026368
Timothy Walz,412214,-1
Keith Ellison,412215,N00028257
Adrian Smith,412217,N00027623
Yvette Clarke,412221,N00026961
Jim Jordan,412226,N00027894
Steve Cohen,412236,N00003225
Peter Welch,412239,N00000515
Gus Bilirakis,412250,N00027462
Niki Tsongas,412254,N00029026
Robert Wittman,412255,-1
Robert Latta,412256,N00012233
Bill Foster,412257,N00029139
André Carson,412258,-1
Jackie Speier,412259,N00029649
Steve Scalise,412261,N00009660
Donna Edwards,412263,N00028249
Jason Chaffetz,412270,N00028958
Mike Coffman,412271,N00024753
Gerald Connolly,412272,-1
John Fleming,412275,N00029679
Alan Grayson,412276,N00028418
Brett Guthrie,412278,N00029675
Gregg Harper,412280,N00029632
James Himes,412282,-1
Duncan Hunter,412283,N00029258
Lynn Jenkins,412284,N00029077
Ann Kirkpatrick,412286,N00029260
Leonard Lance,412290,N00000898
Blaine Luetkemeyer,412292,N00030026
Ben Luján,412293,-1
Cynthia Lummis,412294,N00029788
Tom McClintock,412295,N00006863
Pete Olson,412302,N00029285
Erik Paulsen,412303,N00029391
Chellie Pingree,412307,N00013817
Jared Polis,412308,N00029127
Bill Posey,412309,N00029662
David Roe,412310,-1
Thomas Rooney,412311,-1
Kurt Schrader,412315,N00030071
Glenn Thompson,412317,N00029736
Dina Titus,412318,N00030191
Paul Tonko,412319,N00030196
Marcia Fudge,412327,N00030490
Mike Quigley,412331,N00030581
Judy Chu,412379,N00030600
John Garamendi,412382,N00030856
Theodore Deutch,412385,-1
Tom Graves,412388,N00030788
Marlin Stutzman,412392,N00030891
Tom Reed,412393,N00030949
Martha Roby,412394,N00030768
Mo Brooks,412395,N00030910
Terri Sewell,412396,N00030622
Paul Gosar,412397,N00030771
David Schweikert,412399,N00006460
Eric Crawford,412400,-1
Steve Womack,412402,N00031857
Jeff Denham,412403,N00031593
Karen Bass,412404,N00031877
Scott Tipton,412405,N00027509
John Carney,412407,N00030736
Richard Nugent,412409,N00032441
Daniel Webster,412410,N00026335
Dennis Ross,412411,N00030645
Frederica Wilson,412412,N00030650
Rob Woodall,412416,N00032416
Austin Scott,412417,N00032457
Raúl Labrador,412419,-1
Bob Dold,412420,N00031103
Adam Kinzinger,412421,N00030667
Randy Hultgren,412422,N00031104
Todd Rokita,412426,N00031741
Larry Bucshon,412427,N00031227
Todd Young,412428,N00030670
Tim Huelskamp,412429,N00027649
Kevin Yoder,412430,N00031502
